config_id,repeat_id,error_mode,forward_eps,grad_eps,layer_types,final_loss
2,23,both,0.0001,0.0001,LayerNorm,2.332416
2,24,both,0.0001,0.0001,LayerNorm,2.332418
2,25,both,0.0001,0.0001,LayerNorm,2.332417
2,26,both,0.0001,0.0001,LayerNorm,2.332414
2,27,both,0.0001,0.0001,LayerNorm,2.332412
2,28,both,0.0001,0.0001,LayerNorm,2.332421
2,29,both,0.0001,0.0001,LayerNorm,2.332417
2,30,both,0.0001,0.0001,LayerNorm,2.332417
2,31,both,0.0001,0.0001,LayerNorm,2.332417
2,32,both,0.0001,0.0001,LayerNorm,2.332417
2,33,both,0.0001,0.0001,LayerNorm,2.332417
2,34,both,0.0001,0.0001,LayerNorm,2.332417
2,35,both,0.0001,0.0001,LayerNorm,2.332418
2,36,both,0.0001,0.0001,LayerNorm,2.332417
2,37,both,0.0001,0.0001,LayerNorm,2.332418
2,38,both,0.0001,0.0001,LayerNorm,2.332417
2,39,both,0.0001,0.0001,LayerNorm,2.332417
2,40,both,0.0001,0.0001,LayerNorm,2.332415
2,41,both,0.0001,0.0001,LayerNorm,2.332415
2,42,both,0.0001,0.0001,LayerNorm,2.33242
2,43,both,0.0001,0.0001,LayerNorm,2.332416
2,44,both,0.0001,0.0001,LayerNorm,2.332416
2,45,both,0.0001,0.0001,LayerNorm,2.332417
2,46,both,0.0001,0.0001,LayerNorm,2.332419
2,47,both,0.0001,0.0001,LayerNorm,2.332414
2,48,both,0.0001,0.0001,LayerNorm,2.33242
2,49,both,0.0001,0.0001,LayerNorm,2.332415
3,20,both,0.0001,0.0001,CausalSelfAttention,2.332414
3,21,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,22,both,0.0001,0.0001,CausalSelfAttention,2.332415
3,23,both,0.0001,0.0001,CausalSelfAttention,2.332414
3,24,both,0.0001,0.0001,CausalSelfAttention,2.332415
3,25,both,0.0001,0.0001,CausalSelfAttention,2.332416
3,26,both,0.0001,0.0001,CausalSelfAttention,2.332416
3,27,both,0.0001,0.0001,CausalSelfAttention,2.332418
3,28,both,0.0001,0.0001,CausalSelfAttention,2.332419
3,29,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,30,both,0.0001,0.0001,CausalSelfAttention,2.332416
3,31,both,0.0001,0.0001,CausalSelfAttention,2.33242
3,32,both,0.0001,0.0001,CausalSelfAttention,2.332418
3,33,both,0.0001,0.0001,CausalSelfAttention,2.332415
3,34,both,0.0001,0.0001,CausalSelfAttention,2.332418
3,35,both,0.0001,0.0001,CausalSelfAttention,2.332416
3,36,both,0.0001,0.0001,CausalSelfAttention,2.332422
3,37,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,38,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,39,both,0.0001,0.0001,CausalSelfAttention,2.332416
3,40,both,0.0001,0.0001,CausalSelfAttention,2.332416
3,41,both,0.0001,0.0001,CausalSelfAttention,2.332419
3,42,both,0.0001,0.0001,CausalSelfAttention,2.332414
3,43,both,0.0001,0.0001,CausalSelfAttention,2.332415
3,44,both,0.0001,0.0001,CausalSelfAttention,2.332415
3,45,both,0.0001,0.0001,CausalSelfAttention,2.332418
3,46,both,0.0001,0.0001,CausalSelfAttention,2.332415
3,47,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,48,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,49,both,0.0001,0.0001,CausalSelfAttention,2.332417
4,20,both,0.001,0.001,none,2.332418
4,21,both,0.001,0.001,none,2.332417
4,22,both,0.001,0.001,none,2.332418
4,23,both,0.001,0.001,none,2.332417
4,24,both,0.001,0.001,none,2.332412
4,25,both,0.001,0.001,none,2.332416
4,26,both,0.001,0.001,none,2.332417
4,27,both,0.001,0.001,none,2.332417
4,28,both,0.001,0.001,none,2.332418
4,29,both,0.001,0.001,none,2.332417
4,30,both,0.001,0.001,none,2.332419
4,31,both,0.001,0.001,none,2.332419
4,32,both,0.001,0.001,none,2.332419
4,33,both,0.001,0.001,none,2.332415
4,34,both,0.001,0.001,none,2.332417
4,35,both,0.001,0.001,none,2.332417
4,36,both,0.001,0.001,none,2.332416
4,37,both,0.001,0.001,none,2.332417
4,38,both,0.001,0.001,none,2.332417
4,39,both,0.001,0.001,none,2.332418
4,40,both,0.001,0.001,none,2.332417
4,41,both,0.001,0.001,none,2.332416
4,42,both,0.001,0.001,none,2.332417
4,43,both,0.001,0.001,none,2.332419
4,44,both,0.001,0.001,none,2.332415
4,45,both,0.001,0.001,none,2.332418
4,46,both,0.001,0.001,none,2.332414
4,47,both,0.001,0.001,none,2.332417
4,48,both,0.001,0.001,none,2.332416
4,49,both,0.001,0.001,none,2.332417
5,20,both,0.001,0.001,MLP,2.332417
5,21,both,0.001,0.001,MLP,2.332417
5,22,both,0.001,0.001,MLP,2.332412
5,23,both,0.001,0.001,MLP,2.332419
5,24,both,0.001,0.001,MLP,2.332415
5,25,both,0.001,0.001,MLP,2.332419
5,26,both,0.001,0.001,MLP,2.332419
5,27,both,0.001,0.001,MLP,2.332419
5,28,both,0.001,0.001,MLP,2.332417
5,29,both,0.001,0.001,MLP,2.332417
5,30,both,0.001,0.001,MLP,2.332417
5,31,both,0.001,0.001,MLP,2.332417
5,32,both,0.001,0.001,MLP,2.332417
5,33,both,0.001,0.001,MLP,2.332417
5,34,both,0.001,0.001,MLP,2.332417
5,35,both,0.001,0.001,MLP,2.332418
5,36,both,0.001,0.001,MLP,2.332418
5,37,both,0.001,0.001,MLP,2.332415
5,38,both,0.001,0.001,MLP,2.332416
5,39,both,0.001,0.001,MLP,2.332417
5,40,both,0.001,0.001,MLP,2.332418
5,41,both,0.001,0.001,MLP,2.332415
5,42,both,0.001,0.001,MLP,2.332418
5,43,both,0.001,0.001,MLP,2.332415
5,44,both,0.001,0.001,MLP,2.332418
5,45,both,0.001,0.001,MLP,2.332416
5,46,both,0.001,0.001,MLP,2.332417
5,47,both,0.001,0.001,MLP,2.332412
5,48,both,0.001,0.001,MLP,2.332415
5,49,both,0.001,0.001,MLP,2.332418
6,20,both,0.001,0.001,LayerNorm,2.332417
6,21,both,0.001,0.001,LayerNorm,2.332416
6,22,both,0.001,0.001,LayerNorm,2.332416
6,23,both,0.001,0.001,LayerNorm,2.332415
6,24,both,0.001,0.001,LayerNorm,2.332417
6,25,both,0.001,0.001,LayerNorm,2.332414
6,26,both,0.001,0.001,LayerNorm,2.332419
6,27,both,0.001,0.001,LayerNorm,2.332416
6,28,both,0.001,0.001,LayerNorm,2.332414
6,29,both,0.001,0.001,LayerNorm,2.332418
6,30,both,0.001,0.001,LayerNorm,2.332419
6,31,both,0.001,0.001,LayerNorm,2.332419
6,32,both,0.001,0.001,LayerNorm,2.332418
6,33,both,0.001,0.001,LayerNorm,2.332416
6,34,both,0.001,0.001,LayerNorm,2.332415
6,35,both,0.001,0.001,LayerNorm,2.332416
6,36,both,0.001,0.001,LayerNorm,2.332417
6,37,both,0.001,0.001,LayerNorm,2.332416
6,38,both,0.001,0.001,LayerNorm,2.332417
6,39,both,0.001,0.001,LayerNorm,2.332416
6,40,both,0.001,0.001,LayerNorm,2.332416
6,41,both,0.001,0.001,LayerNorm,2.332419
6,42,both,0.001,0.001,LayerNorm,2.332417
6,43,both,0.001,0.001,LayerNorm,2.33242
6,44,both,0.001,0.001,LayerNorm,2.332419
6,45,both,0.001,0.001,LayerNorm,2.332418
6,46,both,0.001,0.001,LayerNorm,2.332414
6,47,both,0.001,0.001,LayerNorm,2.332417
6,48,both,0.001,0.001,LayerNorm,2.332418
6,49,both,0.001,0.001,LayerNorm,2.332419
7,20,both,0.001,0.001,CausalSelfAttention,2.332414
7,21,both,0.001,0.001,CausalSelfAttention,2.332417
7,22,both,0.001,0.001,CausalSelfAttention,2.332417
7,23,both,0.001,0.001,CausalSelfAttention,2.332416
7,24,both,0.001,0.001,CausalSelfAttention,2.33242
7,25,both,0.001,0.001,CausalSelfAttention,2.332417
7,26,both,0.001,0.001,CausalSelfAttention,2.332419
7,27,both,0.001,0.001,CausalSelfAttention,2.332416
7,28,both,0.001,0.001,CausalSelfAttention,2.332416
7,29,both,0.001,0.001,CausalSelfAttention,2.332418
7,30,both,0.001,0.001,CausalSelfAttention,2.332417
7,31,both,0.001,0.001,CausalSelfAttention,2.332417
